Subject,Block,Trial,Direction,Velocity,Blink,BlinkDuration,ResponseError
222,4,11,1,240,0,0,-1.4161
222,4,12,-1,240,0,0,4.193
222,4,13,1,240,0,0,-7.5439
222,4,14,1,240,0,0,6.2577
222,4,15,-1,240,0,0,-2.0592
222,4,16,1,180,0,0,0.043959
222,4,17,1,180,0,0,-9.6865
222,4,18,-1,180,0,0,8.7853
222,4,19,-1,180,0,0,5.6935
222,4,20,1,240,0,0,-18.852
222,4,21,-1,180,0,0,15.544
222,4,22,1,180,0,0,2.3825
222,4,23,1,240,0,0,-10.585
222,4,24,1,180,0,0,-5.2364
222,4,25,-1,180,0,0,9.9113
222,4,26,1,180,0,0,-9.1412
222,4,27,-1,180,0,0,3.5871
222,4,28,1,180,0,0,0.19433
222,4,29,1,180,0,0,-8.7217
222,4,30,-1,180,0,0,8.9513
222,4,31,1,240,0,0,0.12462
222,4,32,1,180,0,0,-6.0114
222,4,33,-1,240,0,0,2.3487
222,4,34,-1,240,0,0,2.301
222,4,35,1,180,0,0,4.9986
222,4,36,1,240,0,0,-12.597
222,4,37,1,180,0,0,-5.827
222,4,38,1,180,0,0,-9.5057
222,4,39,-1,240,0,0,1.2882
222,4,40,1,240,0,0,7.1753
222,4,41,1,240,0,0,-9.0694
222,4,42,-1,240,0,0,-3.5063
222,4,43,-1,180,0,0,7.751
222,4,44,-1,240,0,0,-3.4438
222,4,45,-1,240,0,0,-13.928
222,4,46,-1,180,0,0,29.157
222,4,47,1,240,0,0,10.627
222,4,48,-1,180,0,0,17.258
222,4,49,-1,180,0,0,0.7601
222,4,50,-1,180,0,0,2.8918
222,4,51,-1,240,0,0,-4.1952
222,4,52,-1,180,0,0,-3.5223
222,4,53,-1,180,0,0,14.637
222,4,54,-1,240,0,0,1.4727
222,4,55,1,240,0,0,-26.767
222,4,56,1,180,0,0,-7.1883
222,4,57,-1,180,0,0,-8.3165
222,4,58,1,240,0,0,-3.484
222,4,59,1,240,0,0,0.29264
222,4,60,1,180,0,0,0.017002
222,4,61,-1,240,0,0,-3.603
222,4,62,1,240,0,0,-7.9623
222,4,63,1,180,0,0,-0.049811
222,4,64,1,180,0,0,-9.1713
222,4,65,1,240,0,0,-9.9316
222,4,66,1,240,0,0,-11.464
222,4,67,1,180,0,0,-7.7437
222,4,68,-1,240,0,0,-5.2882
222,4,69,-1,180,0,0,0.59248
222,4,70,-1,240,0,0,2.584
222,4,71,1,180,0,0,-14.362
222,4,72,1,240,0,0,-8.3394
222,4,73,1,180,0,0,18.864
222,4,74,-1,180,0,0,9.956
222,4,75,-1,240,0,0,-0.1791
222,4,76,-1,240,0,0,15.371
222,4,77,-1,240,0,0,-0.77295
222,4,78,1,180,0,0,-5.287
222,4,79,-1,180,0,0,-5.0661
222,4,80,-1,240,0,0,-3.9007
292,1,1,-1,240,0,0,-6.3977
292,1,2,1,240,0,0,13.131
292,1,3,-1,180,0,0,-2.7796
292,1,4,-1,240,0,0,12.752
292,1,5,1,240,1,0,29.492
292,1,6,-1,240,0,0,-6.1297
292,1,7,-1,240,0,0,55.096
292,1,8,-1,240,1,15,23.138
292,1,9,-1,240,1,0,39.218
292,1,10,1,180,0,0,4.0917
292,1,11,-1,180,0,0,29.729
292,1,12,-1,180,1,0,7.0686
292,1,13,-1,240,0,0,19.659
292,1,14,-1,180,0,0,4.5335
292,1,15,1,240,0,0,-8.8969
292,1,16,-1,240,1,37,22.353
292,1,17,1,240,1,0,6.853
292,1,18,-1,240,0,0,0.021683
292,1,19,-1,240,0,0,9.8332
292,1,20,1,240,1,105,23.406
